"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2019","1.3233","1.4311","1.4354","1.3045","5.13M","-7.54%"
"Aug 08, 2019","1.4312","1.4428","1.4813","1.4028","5.07M","-0.74%"
"Aug 07, 2019","1.4419","1.4716","1.4973","1.4037","5.47M","-2.02%"
"Aug 06, 2019","1.4717","1.5495","1.5561","1.4520","4.99M","-4.90%"
"Aug 05, 2019","1.5475","1.5258","1.5850","1.5218","5.39M","1.43%"
"Aug 04, 2019","1.5257","1.5319","1.5444","1.4895","2.72M","-0.41%"
"Aug 03, 2019","1.5319","1.5310","1.5503","1.5179","3.88M","0.06%"
"Aug 02, 2019","1.5310","1.5434","1.5581","1.5120","3.65M","-0.80%"
"Aug 01, 2019","1.5434","1.5851","1.5908","1.5197","3.47M","-2.63%"
"Jul 31, 2019","1.5850","1.5392","1.5896","1.5316","4.66M","2.97%"
"Jul 30, 2019","1.5392","1.5232","1.5566","1.4947","2.50M","1.05%"
"Jul 29, 2019","1.5233","1.5318","1.5708","1.4993","4.18M","-0.53%"
"Jul 28, 2019","1.5313","1.5809","1.5941","1.4596","2.95M","-3.14%"
"Jul 27, 2019","1.5809","1.6829","1.7278","1.5543","5.92M","-6.05%"
"Jul 26, 2019","1.6828","1.6888","1.6917","1.6438","4.25M","-0.35%"
"Jul 25, 2019","1.6888","1.7051","1.7372","1.6781","6.44M","-0.95%"
"Jul 24, 2019","1.7051","1.5561","1.7168","1.5020","9.87M","9.57%"
"Jul 23, 2019","1.5561","1.6507","1.6595","1.5435","4.67M","-5.73%"
"Jul 22, 2019","1.6507","1.7235","1.7341","1.6116","5.94M","-4.22%"
"Jul 21, 2019","1.7235","1.7118","1.7559","1.6600","7.07M","0.68%"
"Jul 20, 2019","1.7119","1.5302","1.8495","1.5264","11.69M","11.87%"
"Jul 19, 2019","1.5302","1.5272","1.5349","1.4585","7.20M","0.20%"
"Jul 18, 2019","1.5271","1.4034","1.5530","1.3784","11.43M","8.82%"
"Jul 17, 2019","1.4033","1.3422","1.4681","1.3087","12.50M","4.59%"
"Jul 16, 2019","1.3418","1.5761","1.6001","1.3274","12.14M","-14.81%"
"Jul 15, 2019","1.5750","1.5644","1.6032","1.3615","20.16M","0.69%"
"Jul 14, 2019","1.5642","1.8585","1.8728","1.5619","23.01M","-15.81%"
"Jul 13, 2019","1.8580","1.9948","2.0027","1.7997","15.51M","-6.87%"
"Jul 12, 2019","1.9952","1.9170","2.0224","1.8851","17.56M","4.05%"
"Jul 11, 2019","1.9175","2.2339","2.2340","1.8630","21.12M","-14.18%"
"Jul 10, 2019","2.2344","2.4265","2.4804","2.0120","18.43M","-7.92%"
"Jul 09, 2019","2.4266","2.5775","2.5779","2.4158","19.39M","-5.85%"
"Jul 08, 2019","2.5774","2.3896","2.6706","2.3565","23.04M","7.86%"
"Jul 07, 2019","2.3897","2.3740","2.4058","2.3152","20.83M","0.66%"
"Jul 06, 2019","2.3741","2.3105","2.4234","2.3105","24.38M","2.75%"
"Jul 05, 2019","2.3106","2.3131","2.3364","2.2657","17.03M","-0.09%"
"Jul 04, 2019","2.3128","2.4652","2.4673","2.3091","19.26M","-6.19%"
"Jul 03, 2019","2.4655","2.3726","2.4696","2.3462","17.81M","3.92%"
"Jul 02, 2019","2.3726","2.4312","2.4545","2.2234","22.14M","-2.42%"
"Jul 01, 2019","2.4315","2.4890","2.6076","2.2795","22.45M","-2.29%"
"Jun 30, 2019","2.4885","2.8362","2.8610","2.4813","22.65M","-12.26%"
"Jun 29, 2019","2.8364","2.6737","2.8607","2.5839","25.71M","6.08%"
"Jun 28, 2019","2.6737","2.4246","2.7666","2.3583","24.16M","10.29%"
"Jun 27, 2019","2.4242","2.8033","2.8854","2.2290","28.89M","-13.51%"
"Jun 26, 2019","2.8027","2.6894","3.2586","2.5542","41.44M","4.21%"
"Jun 25, 2019","2.6895","2.3696","2.7090","2.2889","21.00M","13.50%"
"Jun 24, 2019","2.3696","2.2604","2.4590","2.1934","18.44M","4.79%"
"Jun 23, 2019","2.2612","2.2733","2.3351","2.1928","13.87M","-0.51%"
"Jun 22, 2019","2.2729","2.0603","2.3036","2.0338","16.64M","10.28%"
"Jun 21, 2019","2.0611","2.0264","2.0936","2.0257","12.74M","1.69%"
"Jun 20, 2019","2.0268","2.1012","2.1039","2.0130","17.62M","-3.53%"
"Jun 19, 2019","2.1009","2.0556","2.1491","2.0348","17.26M","2.21%"
"Jun 18, 2019","2.0556","2.1302","2.1319","2.0070","20.05M","-3.50%"
"Jun 17, 2019","2.1302","2.1091","2.1599","2.0865","21.53M","0.99%"
"Jun 16, 2019","2.1094","2.0911","2.2136","2.0653","24.68M","0.89%"
"Jun 15, 2019","2.0909","2.1074","2.1694","2.0697","15.37M","-0.77%"
"Jun 14, 2019","2.1071","2.1036","2.1860","2.0245","17.96M","0.17%"
"Jun 13, 2019","2.1036","2.0562","2.1458","2.0108","15.33M","2.20%"
"Jun 12, 2019","2.0583","1.9730","2.0584","1.9537","13.50M","4.34%"
"Jun 11, 2019","1.9727","2.0242","2.0330","1.9032","11.75M","-2.54%"
"Jun 10, 2019","2.0241","1.8877","2.0252","1.8525","15.82M","7.23%"
"Jun 09, 2019","1.8877","1.9939","2.0132","1.8338","14.35M","-5.32%"
"Jun 08, 2019","1.9939","2.0174","2.0415","1.9539","16.22M","-1.18%"
"Jun 07, 2019","2.0177","1.9912","2.0710","1.9631","15.65M","1.32%"
"Jun 06, 2019","1.9914","1.9720","2.0073","1.8869","13.69M","0.98%"
"Jun 05, 2019","1.9720","1.9627","2.0211","1.9119","6.78M","0.46%"
"Jun 04, 2019","1.9630","2.0839","2.1011","1.9045","9.54M","-5.79%"
"Jun 03, 2019","2.0835","2.3539","2.3551","2.0552","14.95M","-11.49%"
"Jun 02, 2019","2.3541","2.2210","2.3672","2.2162","12.29M","5.99%"
"Jun 01, 2019","2.2209","2.2593","2.3392","2.2026","12.70M","-1.71%"
"May 31, 2019","2.2597","2.1698","2.2701","2.0975","9.44M","4.14%"
"May 30, 2019","2.1699","2.2887","2.4772","2.0916","17.87M","-5.19%"
"May 29, 2019","2.2887","2.2624","2.3424","2.1209","11.57M","1.17%"
"May 28, 2019","2.2623","2.2103","2.3021","2.1626","8.69M","2.34%"
"May 27, 2019","2.2105","2.0720","2.2636","2.0566","9.02M","6.69%"
"May 26, 2019","2.0720","1.9686","2.0832","1.9106","5.29M","5.23%"
"May 25, 2019","1.9691","1.9664","2.0014","1.9478","3.53M","0.16%"
"May 24, 2019","1.9660","1.9060","2.0369","1.9037","5.43M","3.08%"
"May 23, 2019","1.9073","1.9151","1.9639","1.8043","8.33M","-0.41%"
"May 22, 2019","1.9152","2.1076","2.1436","1.9150","10.71M","-9.13%"
"May 21, 2019","2.1076","2.0254","2.1370","1.9939","7.76M","4.06%"
"May 20, 2019","2.0254","2.0945","2.1229","1.8735","10.98M","-3.29%"
"May 19, 2019","2.0944","1.8803","2.0998","1.8776","8.38M","11.39%"
"May 18, 2019","1.8801","1.9595","2.0026","1.8679","5.33M","-4.00%"
"May 17, 2019","1.9586","2.1609","2.1819","1.8349","11.29M","-9.36%"
"May 16, 2019","2.1609","2.1836","2.4186","2.0554","20.62M","-1.00%"
"May 15, 2019","2.1827","1.8728","2.2009","1.8664","18.25M","16.55%"
"May 14, 2019","1.8727","1.7194","1.8834","1.7126","12.15M","8.92%"
"May 13, 2019","1.7193","1.6427","1.7979","1.6333","8.03M","4.66%"
